Class,_RMSenergy_Mean,_Lowenergy_Mean,_Fluctuation_Mean,_Tempo_Mean,_MFCC_Mean_1,_MFCC_Mean_2,_MFCC_Mean_3,_MFCC_Mean_4,_MFCC_Mean_5,_MFCC_Mean_6,_MFCC_Mean_7,_MFCC_Mean_8,_MFCC_Mean_9,_MFCC_Mean_10,_MFCC_Mean_11,_MFCC_Mean_12,_MFCC_Mean_13,_Roughness_Mean,_Roughness_Slope,_Zero-crossingrate_Mean,_AttackTime_Mean,_AttackTime_Slope,_Rolloff_Mean,_Eventdensity_Mean,_Pulseclarity_Mean,_Brightness_Mean,_Spectralcentroid_Mean,_Spectralspread_Mean,_Spectralskewness_Mean,_Spectralkurtosis_Mean,_Spectralflatness_Mean,_EntropyofSpectrum_Mean,_Chromagram_Mean_1,_Chromagram_Mean_2,_Chromagram_Mean_3,_Chromagram_Mean_4,_Chromagram_Mean_5,_Chromagram_Mean_6,_Chromagram_Mean_7,_Chromagram_Mean_8,_Chromagram_Mean_9,_Chromagram_Mean_10,_Chromagram_Mean_11,_Chromagram_Mean_12,_HarmonicChangeDetectionFunction_Mean,_HarmonicChangeDetectionFunction_Std,_HarmonicChangeDetectionFunction_Slope,_HarmonicChangeDetectionFunction_PeriodFreq,_HarmonicChangeDetectionFunction_PeriodAmp,_HarmonicChangeDetectionFunction_PeriodEntropy
relax,0.052,0.591,9.136,130.043,3.997,0.363,0.887,0.078,0.221,0.118,-0.151,-0.131,0.129,0.154,0.274,0.232,0.246,51.542,0.325,403.129,0.028,-0.014,1844.664,1.336,0.082,0.173,1121.368,1970.389,3.621,18.037,0.03,0.806,0.496,0.0,0.047,0.03,0.314,0.038,0.024,0.951,0.426,1.0,0.008,0.101,0.316,0.261,0.018,1.035,0.593,0.97
relax,0.125,0.439,6.68,142.24,4.058,0.516,0.785,0.397,0.556,0.799,-0.403,-0.264,-0.057,0.288,0.309,0.049,0.027,336.839,0.366,204.886,0.015,-0.079,1181.067,1.336,0.051,0.117,896.047,1959.622,4.134,21.99,0.025,0.765,0.0,0.142,0.137,0.076,0.112,0.0,0.12,0.0,0.002,1.0,0.0,0.984,0.285,0.211,-0.082,3.364,0.702,0.967
relax,0.046,0.639,10.578,188.154,2.775,0.903,0.502,0.329,0.287,0.14,-0.246,0.025,-0.112,-0.422,0.018,0.179,0.138,39.864,0.224,685.474,0.033,-0.278,10778.651,1.336,0.299,0.496,4181.11,4716.084,0.902,2.366,0.091,0.897,0.412,0.245,0.526,0.095,0.519,0.001,0.563,0.282,0.184,0.746,0.016,1.0,0.413,0.299,0.134,1.682,0.692,0.963
relax,0.135,0.603,10.442,65.991,2.841,1.552,0.612,0.351,0.011,0.143,0.047,0.242,0.018,0.168,0.141,0.245,0.146,353.744,0.215,579.859,0.029,-0.076,6745.549,2.105,0.121,0.319,2492.422,3744.719,1.689,4.78,0.053,0.84,0.307,0.278,0.281,0.208,0.733,0.002,0.276,0.436,0.038,1.0,0.161,0.757,0.422,0.265,0.042,0.354,0.743,0.968
relax,0.066,0.591,9.769,88.89,3.217,0.228,0.814,0.096,0.434,0.285,0.104,0.013,-0.235,-0.207,-0.276,-0.294,-0.19,46.884,-0.118,430.536,0.04,-0.282,3328.373,1.37,0.208,0.279,1776.484,2842.952,2.739,10.627,0.046,0.83,0.091,0.0,0.022,0.396,0.011,0.0,0.135,0.635,0.004,0.404,1.0,0.001,0.345,0.261,0.089,0.748,0.674,0.957
relax,0.137,0.51,7.664,116.044,2.313,-0.082,0.365,0.033,-0.136,-0.579,-0.138,-0.033,-0.018,0.368,0.117,0.01,-0.02,249.382,0.04,799.914,0.047,-0.05,5092.687,0.936,0.164,0.437,2393.32,3077.051,1.961,6.525,0.052,0.864,0.09,0.009,1.0,0.0,0.0,0.455,0.0,0.875,0.064,0.391,0.102,0.0,0.28,0.24,0.355,1.682,0.662,0.958
relax,0.123,0.533,7.483,136.444,4.572,1.171,0.939,0.358,0.024,0.201,0.115,0.032,-0.088,-0.288,-0.012,-0.332,-0.17,336.252,0.272,323.755,0.052,-0.208,887.151,1.303,0.157,0.102,879.009,1848.369,4.684,27.344,0.023,0.744,0.085,0.007,0.0,0.0,0.471,0.0,0.137,0.042,0.0,1.0,0.0,0.143,0.21,0.174,0.193,2.691,0.691,0.966
relax,0.103,0.575,7.006,141.132,3.495,0.553,0.275,0.269,0.257,0.544,-0.002,-0.084,0.009,0.202,-0.101,-0.091,-0.073,293.372,0.345,478.257,0.021,0.089,8089.629,2.071,0.123,0.328,2744.737,3953.714,1.528,3.917,0.055,0.856,0.238,0.929,0.298,0.0,0.227,0.0,0.359,0.0,0.128,1.0,0.03,0.746,0.366,0.267,-0.061,0.585,0.711,0.965
relax,0.145,0.542,6.846,82.048,4.01,0.55,0.568,0.559,0.218,-0.029,-0.196,-0.187,0.052,-0.177,0.21,-0.025,0.277,737.908,0.38,402.43,0.022,-0.113,1584.352,1.704,0.163,0.157,1030.099,1644.135,3.287,15.264,0.011,0.775,0.563,0.0,1.0,0.0,0.0,0.159,0.0,0.532,0.0,0.15,0.91,0.0,0.322,0.21,0.031,0.408,0.796,0.97
relax,0.129,0.618,8.668,93.02,2.318,0.744,0.537,-0.116,0.119,0.069,0.147,-0.027,-0.139,0.124,0.009,0.031,0.012,215.057,0.185,826.605,0.037,-0.093,6396.896,1.27,0.223,0.408,2652.137,3525.056,1.6,4.705,0.049,0.876,0.497,0.0,0.085,0.465,0.0,0.511,0.0,1.0,0.127,0.018,0.385,0.0,0.388,0.34,0.122,1.682,0.627,0.965
relax,0.142,0.534,6.85,82.256,4.006,0.547,0.579,0.55,0.21,-0.033,-0.197,-0.182,0.048,-0.184,0.218,-0.034,0.296,685.05,0.337,402.879,0.023,-0.063,1596.927,1.671,0.113,0.158,1032.217,1644.429,3.313,15.67,0.013,0.775,0.5,0.0,1.0,0.0,0.0,0.165,0.0,0.523,0.0,0.154,0.924,0.0,0.319,0.21,0.01,0.408,0.807,0.969
relax,0.08,0.566,8.774,76.84,2.792,0.747,0.263,0.622,0.306,-0.022,-0.444,-0.245,0.202,0.133,0.235,-0.056,0.071,182.241,0.086,874.842,0.021,0.13,8457.06,2.773,0.162,0.389,3163.509,4297.53,1.407,3.691,0.072,0.887,0.496,0.684,0.479,0.173,0.456,0.223,0.619,0.469,1.0,0.931,0.602,0.825,0.47,0.235,-0.014,1.922,0.812,0.969
